=== [민생경제과] 시스템: 45,194,563천원 | PDF목표: 33,194,563천원 | 차액: +12,000,000천원 ===
      예산구분                         세부사업명             통계목명                          산출근거명                       산출근거식   예산액_num       정산 상태
3067  추경1회        재가노인복지시설 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)              Ο재가노인복지시설 종사자 처우개선비       경정 15,000,000원      15000     ✅ 정산 포함
3068   본예산         장기요양기관 지정심의위원회 운영                  사무관리비              Ο장기요양기관 심의위원 회의참석수당      150,000원*4명*12회       7200     ✅ 정산 포함
3069   본예산         장기요양기관 지정심의위원회 운영                  사무관리비                       Ο회의 노트북 대여       20,000원*7대*12회       1680     ✅ 정산 포함
3070   본예산          노인맞춤돌봄 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)                Ο노인맞춤돌봄 종사자 처우개선비          10,350,000원      10350  🔄 경정 대체 제외
3071  추경1회          노인맞춤돌봄 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)                Ο노인맞춤돌봄 종사자 처우개선비       경정 13,800,000원      13800     ✅ 정산 포함
3072   본예산               요양보호사 힐링워크숍               민간행사사업보조                     Ο요양보호사 힐링워크숍           2,146,000원       2146     ✅ 정산 포함
3073   본예산        노인주거복지시설 종사자 처우개선비   사회보장적수혜금(취약계층, 지방재원)              Ο노인주거복지시설 종사자 처우개선비          12,000,000원      12000     ✅ 정산 포함
3074  추경1회        노인주거복지시설 종사자 웰빙보조비   사회보장적수혜금(취약계층, 지방재원)              Ο노인주거복지시설 종사자 웰빙보조비           4,800,000원       4800     ✅ 정산 포함
3075  추경1회           노인복지관 종사자 웰빙보조비   사회보장적수혜금(취약계층, 지방재원)                 Ο노인복지관 종사자 웰빙보조비          19,200,000원      19200     ✅ 정산 포함
3076  추경1회            재가노인복지시설 웰빙보조비   사회보장적수혜금(취약계층, 지방재원)                  Ο재가노인복지시설 웰빙보조비           6,000,000원       6000     ✅ 정산 포함
3077   본예산                      기초연금       사회보장적수혜금(국고보조재원)                            Ο기초연금     344,694,933,000원  344694933  🔄 경정 대체 제외
